Title,Title_CKIP,Category
捷運間隔5分鐘放人進站　人潮塞爆國父紀念館站,捷運　間隔　5分鐘　放　人　進站　人潮　塞爆　國父　紀念館　站,t
高捷延至兩點收班　夢時代跨年人潮1小時散去,高捷　延至　兩　點收　班　夢時代　跨年　人潮　1　小時　散去,t
31日北捷運量226.7萬人　比前年少40萬人,31　日　北　捷運　量　226.7　萬　人　比　前　年少　40萬　人,t
北捷跨年輸運減少38萬人次　是因假日沒上班族,北捷　跨年　輸運　減少　38萬　人次　是　因　假日　沒　上班族,t
元旦連假收尾　高鐵烏日站午後湧人潮,元旦　連假　收尾　高鐵　烏日站　午後　湧　人潮,t
高鐵年終2個月　郵局最高4.4個月,高鐵　年終　2　個　月　郵局　最　高　4.4　個　月,o
神到她了！他跪求神捷運臭臉正妹　結果暴動了,神　到　她　了　！　他　跪　求神　捷運　臭　臉　正妹　結果　暴動　了,o
一例一休後　年終獎金發多少？高鐵這麼說,一例一休　後　年終　獎金　發　多少　？　高鐵　這麼　說,o
一例一休衝擊　高鐵台鐵：暫不調漲票價,一例一休　衝擊　高鐵　台鐵　：　暫不　調漲　票價,e
高鐵通車10周年　紀念票卡組禮盒明開賣,高鐵　通車　10　周年　紀念　票卡組　禮盒　明　開賣,e
高鐵下個10年學者：用大數據開發商機,高鐵　下　個　10　年　學者　：　用　大數據　開發　商機,o
高鐵今通車滿10年　他說「像看著孩子長大」,高鐵　今　通車　滿　10　年　他　說　「　像　看　著　孩子　長大　」,o
高鐵通車滿10年　「國土移動」原地踏步,高鐵　通車　滿　10　年　「　國土　移動　」　原地　踏步,o
得罪新潮流、段宜康　韓國瑜：好像被高鐵列車撞到,得罪　新　潮流　、　段宜康　韓國　瑜　：　好像　被　高鐵　列車　撞到,o
交長要高鐵認養集集線　台鐵局：未聽說,交長　要　高鐵　認養　集集線　台鐵局　：　未　聽說,o
高鐵通車10年　網友想當年...,高鐵　通車　10　年　網友　想　當年　...,o
捷運微電影很催淚　網友看完卻劃錯重點,捷運　微　電影　很　催淚　網友　看完　卻　劃錯　重點,o
